Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
24,0,Non-Travel,0.0673,Research & Development,0.11,2,Other,1,26,1,0,0.096,4,2,Manufacturing Director,3,Divorced,Medium Income,0.08232,0.0,Y,0,18,3,4,80,1,5,2,0.04,0.01
36,1,Travel_Rarely,0.1218,Sales,0.09,4,Life Sciences,1,27,3,1,0.082,2,1,Sales Representative,1,Single,Low Income,0.06986,0.7,Y,0,23,3,2,80,0,4,3,0.05,0.0
34,0,Travel_Rarely,0.0419,Research & Development,0.07,4,Life Sciences,1,28,1,0,0.053,3,3,Research Director,2,Single,High Income,0.21293,0.0,Y,0,11,3,3,80,0,4,3,0.12,0.02
21,0,Travel_Rarely,0.0391,Research & Development,0.15,2,Life Sciences,1,30,3,1,0.096,3,1,Research Scientist,4,Single,Low Income,0.19281,0.1,Y,0,14,3,4,80,0,6,3,0.0,0.0
34,1,Travel_Rarely,0.0699,Research & Development,0.06,1,Medical,1,31,2,1,0.083,3,1,Research Scientist,1,Single,Low Income,0.17102,0.2,Y,0,11,3,3,80,0,2,3,0.04,0.01
53,0,Travel_Rarely,0.1282,Research & Development,0.05,3,Other,1,32,3,0,0.058,3,5,Manager,3,Divorced,High Income,0.10735,0.4,Y,0,11,3,4,80,1,3,2,0.14,0.04
32,1,Travel_Frequently,0.1125,Research & Development,0.16,1,Life Sciences,1,33,2,0,0.072,1,1,Research Scientist,1,Single,Medium Income,0.04681,0.1,Y,1,22,3,2,80,0,5,3,0.1,0.06
42,0,Travel_Rarely,0.0691,Sales,0.08,4,Marketing,1,35,3,1,0.048,3,2,Sales Executive,2,Married,High Income,0.21173,0.0,Y,0,11,3,4,80,1,2,3,0.09,0.04
44,0,Travel_Rarely,0.0477,Research & Development,0.07,4,Medical,1,36,1,0,0.042,2,3,Healthcare Representative,4,Married,High Income,0.02094,0.3,Y,0,14,3,4,80,1,4,3,0.22,0.05
46,0,Travel_Rarely,0.0705,Sales,0.02,4,Marketing,1,38,2,0,0.083,3,5,Manager,1,Single,High Income,0.22822,0.3,Y,0,12,3,4,80,0,2,2,0.02,0.02
33,0,Travel_Rarely,0.0924,Research & Development,0.02,3,Medical,1,39,3,1,0.078,3,1,Laboratory Technician,4,Single,Low Income,0.0667,0.4,Y,0,11,3,4,80,0,3,3,0.01,0.0
44,0,Travel_Rarely,0.1459,Research & Development,0.1,4,Other,1,40,4,1,0.041,3,2,Healthcare Representative,4,Married,Medium Income,0.19121,0.2,Y,1,13,3,4,80,0,5,4,0.04,0.01
30,0,Travel_Rarely,0.0125,Research & Development,0.09,2,Medical,1,41,4,1,0.083,2,1,Laboratory Technician,3,Single,Low Income,0.16117,0.1,Y,0,13,3,1,80,0,5,3,0.1,0.01
39,1,Travel_Rarely,0.0895,Sales,0.05,3,Technical Degree,1,42,4,1,0.056,3,2,Sales Representative,4,Married,Low Income,0.03335,0.3,Y,0,14,3,3,80,1,6,4,0.01,0.0
24,1,Travel_Rarely,0.0813,Research & Development,0.01,3,Medical,1,45,2,1,0.061,3,1,Research Scientist,4,Married,Low Income,0.0302,0.2,Y,1,16,3,1,80,1,2,2,0.02,0.02
43,0,Travel_Rarely,0.1273,Research & Development,0.02,2,Medical,1,46,4,0,0.072,4,1,Research Scientist,3,Divorced,Low Income,0.21923,0.1,Y,0,12,3,4,80,2,3,2,0.05,0.01
50,1,Travel_Rarely,0.0869,Sales,0.03,2,Marketing,1,47,1,1,0.086,2,1,Sales Representative,3,Married,Low Income,0.0381,0.1,Y,1,14,3,3,80,0,2,3,0.03,0.0
35,0,Travel_Rarely,0.089,Sales,0.02,3,Marketing,1,49,4,0,0.097,3,1,Sales Representative,4,Married,Low Income,0.09687,0.1,Y,0,13,3,1,80,0,3,3,0.02,0.02
36,0,Travel_Rarely,0.0852,Research & Development,0.05,4,Life Sciences,1,51,2,0,0.082,2,1,Research Scientist,1,Married,Low Income,0.13072,0.9,Y,1,14,3,4,80,1,3,4,0.01,0.0
33,0,Travel_Frequently,0.1141,Sales,0.01,3,Life Sciences,1,52,3,0,0.042,4,2,Sales Executive,1,Married,Medium Income,0.03193,0.2,Y,0,19,3,1,80,2,3,3,0.05,0.01
35,0,Travel_Rarely,0.0464,Research & Development,0.04,2,Other,1,53,3,1,0.075,3,1,Laboratory Technician,4,Divorced,Low Income,0.1091,0.1,Y,0,12,3,3,80,1,3,3,0.01,0.0
27,0,Travel_Rarely,0.124,Research & Development,0.02,4,Life Sciences,1,54,4,0,0.033,3,1,Laboratory Technician,1,Divorced,Low Income,0.19715,0.1,Y,0,13,3,4,80,1,6,3,0.01,0.0
26,1,Travel_Rarely,0.1357,Research & Development,0.25,3,Life Sciences,1,55,1,1,0.048,1,1,Laboratory Technician,3,Single,Low Income,0.10558,0.1,Y,0,12,3,3,80,0,2,2,0.01,0.0
27,0,Travel_Frequently,0.0994,Sales,0.08,3,Life Sciences,1,56,4,1,0.037,3,3,Sales Executive,3,Single,High Income,0.02975,0.1,Y,0,15,3,4,80,0,0,3,0.09,0.01
30,0,Travel_Frequently,0.0721,Research & Development,0.01,2,Medical,1,57,3,0,0.058,3,2,Laboratory Technician,4,Single,Medium Income,0.10781,0.1,Y,0,23,3,4,80,0,2,3,0.12,0.03
41,1,Travel_Rarely,0.136,Research & Development,0.12,3,Technical Degree,1,58,2,0,0.049,3,5,Research Director,3,Married,High Income,0.1628,0.1,Y,0,12,3,4,80,0,0,3,0.22,0.12
34,0,Non-Travel,0.1065,Sales,0.23,4,Marketing,1,60,2,1,0.072,3,2,Sales Executive,3,Single,Medium Income,0.10034,0.0,Y,0,20,3,3,80,0,2,3,0.09,0.08
37,0,Travel_Rarely,0.0408,Research & Development,0.19,2,Life Sciences,1,61,2,1,0.073,3,1,Research Scientist,2,Married,Low Income,0.10227,0.4,Y,0,21,3,1,80,0,1,3,0.01,0.0
46,0,Travel_Frequently,0.1211,Sales,0.05,4,Marketing,1,62,1,1,0.098,3,2,Sales Executive,4,Single,Medium Income,0.20445,0.4,Y,1,21,3,3,80,0,4,3,0.09,0.0
35,0,Travel_Rarely,0.1229,Research & Development,0.08,1,Life Sciences,1,63,4,1,0.036,4,1,Laboratory Technician,4,Married,Low Income,0.04892,0.1,Y,0,19,3,4,80,0,2,3,0.01,0.0
48,1,Travel_Rarely,0.0626,Research & Development,0.01,2,Life Sciences,1,64,1,1,0.098,2,3,Laboratory Technician,3,Single,Medium Income,0.19294,0.9,Y,1,13,3,4,80,0,2,3,0.01,0.0
28,1,Travel_Rarely,0.1434,Research & Development,0.05,4,Technical Degree,1,65,3,1,0.05,3,1,Laboratory Technician,3,Single,Low Income,0.11179,0.1,Y,1,13,3,3,80,0,3,2,0.02,0.02
44,0,Travel_Rarely,0.1488,Sales,0.01,5,Marketing,1,68,2,0,0.075,3,2,Sales Executive,1,Divorced,Medium Income,0.04009,0.5,Y,1,21,3,3,80,1,2,2,0.04,0.01
35,0,Non-Travel,0.1097,Research & Development,0.11,2,Medical,1,70,3,1,0.079,2,3,Healthcare Representative,1,Married,High Income,0.08302,0.2,Y,1,13,3,3,80,1,3,3,0.04,0.02
26,0,Travel_Rarely,0.1443,Sales,0.23,3,Marketing,1,72,3,0,0.047,2,2,Sales Executive,4,Married,Medium Income,0.21436,0.7,Y,1,19,3,3,80,1,2,2,0.02,0.0
33,0,Travel_Frequently,0.0515,Research & Development,0.01,2,Life Sciences,1,73,1,0,0.098,3,3,Research Director,4,Single,High Income,0.15146,0.1,Y,1,12,3,3,80,0,1,3,0.15,0.08
35,0,Travel_Frequently,0.0853,Sales,0.18,5,Life Sciences,1,74,2,1,0.071,3,3,Sales Executive,1,Married,High Income,0.11031,0.1,Y,0,22,3,4,80,1,3,2,0.09,0.01
35,0,Travel_Rarely,0.1142,Research & Development,0.23,4,Medical,1,75,3,0,0.03,3,1,Laboratory Technician,1,Married,Medium Income,0.16002,0.3,Y,1,15,3,3,80,1,3,3,0.02,0.02
31,0,Travel_Rarely,0.0655,Research & Development,0.07,4,Life Sciences,1,76,4,1,0.048,3,2,Laboratory Technician,4,Divorced,Medium Income,0.09528,0.3,Y,0,22,3,4,80,1,3,2,0.07,0.01
37,0,Travel_Rarely,0.1115,Research & Development,0.01,4,Life Sciences,1,77,1,1,0.051,2,2,Manufacturing Director,3,Divorced,Medium Income,0.02689,0.1,Y,0,18,3,3,80,1,2,4,0.07,0.0
32,0,Travel_Rarely,0.0427,Research & Development,0.01,3,Medical,1,78,1,1,0.033,3,2,Manufacturing Director,4,Married,Medium Income,0.10877,0.1,Y,1,22,3,2,80,1,3,3,0.09,0.07
38,0,Travel_Frequently,0.0653,Research & Development,0.29,5,Life Sciences,1,79,4,0,0.05,3,2,Laboratory Technician,4,Single,Low Income,0.05456,0.1,Y,0,11,3,4,80,0,2,3,0.1,0.09
50,0,Travel_Rarely,0.0989,Research & Development,0.07,2,Medical,1,80,2,0,0.043,2,5,Research Director,3,Divorced,High Income,0.16701,0.5,Y,1,12,3,4,80,1,2,2,0.27,0.12
59,0,Travel_Rarely,0.1435,Sales,0.25,3,Life Sciences,1,81,1,0,0.099,3,3,Sales Executive,1,Single,High Income,0.02354,0.7,Y,0,11,3,4,80,0,3,2,0.21,0.07
36,0,Travel_Rarely,0.1223,Research & Development,0.08,3,Technical Degree,1,83,3,0,0.059,3,3,Healthcare Representative,3,Divorced,High Income,0.08202,0.1,Y,0,13,3,2,80,3,2,3,0.17,0.12
55,0,Travel_Rarely,0.0836,Research & Development,0.08,3,Medical,1,84,4,0,0.033,3,4,Manager,3,Divorced,High Income,0.1973,0.2,Y,1,14,3,3,80,3,2,3,0.05,0.0
36,0,Travel_Frequently,0.1195,Research & Development,0.11,3,Life Sciences,1,85,2,1,0.095,2,2,Manufacturing Director,2,Single,Medium Income,0.22656,0.1,Y,0,13,3,3,80,0,3,3,0.06,0.0
45,0,Travel_Rarely,0.1339,Research & Development,0.07,3,Life Sciences,1,86,2,1,0.059,3,3,Research Scientist,1,Divorced,High Income,0.18787,0.2,Y,0,17,3,3,80,1,2,3,0.01,0.0
35,0,Travel_Frequently,0.0664,Research & Development,0.01,3,Medical,1,88,2,1,0.079,3,1,Research Scientist,1,Married,Low Income,0.05868,0.4,Y,0,13,3,4,80,1,2,2,0.03,0.01
36,1,Travel_Rarely,0.0318,Research & Development,0.09,3,Medical,1,90,4,1,0.079,2,1,Research Scientist,3,Married,Low Income,0.21777,0.0,Y,1,17,3,1,80,1,0,2,0.01,0.0
59,0,Travel_Frequently,0.1225,Sales,0.01,1,Life Sciences,1,91,1,0,0.057,2,2,Sales Executive,3,Single,Medium Income,0.24668,0.7,Y,0,11,3,4,80,0,2,2,0.04,0.01
29,0,Travel_Rarely,0.1328,Research & Development,0.02,3,Life Sciences,1,94,3,1,0.076,3,1,Research Scientist,2,Married,Low Income,0.04956,0.0,Y,0,23,3,4,80,1,3,3,0.05,0.0
31,0,Travel_Rarely,0.1082,Research & Development,0.01,4,Medical,1,95,3,1,0.087,3,1,Research Scientist,2,Single,Low Income,0.18775,0.1,Y,0,17,3,2,80,0,4,3,0.01,0.01
32,0,Travel_Rarely,0.0548,Research & Development,0.01,3,Life Sciences,1,96,2,1,0.066,3,2,Research Scientist,2,Married,Medium Income,0.07346,0.1,Y,0,17,3,2,80,2,3,3,0.1,0.0
36,0,Travel_Rarely,0.0132,Research & Development,0.06,3,Life Sciences,1,97,2,0,0.055,4,1,Laboratory Technician,4,Married,Low Income,0.22002,0.3,Y,0,12,3,2,80,0,3,3,0.01,0.0
31,0,Travel_Rarely,0.0746,Research & Development,0.08,4,Life Sciences,1,98,3,0,0.061,3,2,Manufacturing Director,4,Single,Medium Income,0.20682,0.1,Y,0,23,3,4,80,0,2,3,0.11,0.01
35,0,Travel_Rarely,0.0776,Sales,0.01,4,Marketing,1,100,3,1,0.032,2,2,Sales Executive,1,Single,Medium Income,0.23016,0.0,Y,0,14,3,2,80,0,2,3,0.15,0.02
45,0,Travel_Rarely,0.0193,Research & Development,0.06,4,Other,1,101,4,1,0.052,3,3,Research Director,1,Married,High Income,0.15067,0.4,Y,1,14,3,2,80,0,3,4,0.0,0.0
37,0,Travel_Rarely,0.0397,Research & Development,0.07,4,Medical,1,102,1,1,0.03,3,3,Research Director,3,Single,High Income,0.25258,0.4,Y,0,13,3,1,80,0,3,4,0.05,0.0
46,0,Travel_Rarely,0.0945,Human Resources,0.05,2,Medical,1,103,2,1,0.08,3,2,Human Resources,2,Divorced,Medium Income,0.10425,0.8,Y,1,22,3,4,80,1,2,3,0.04,0.0
30,0,Travel_Rarely,0.0852,Research & Development,0.01,1,Life Sciences,1,104,4,1,0.055,2,2,Laboratory Technician,4,Married,Medium Income,0.15998,0.1,Y,1,12,3,3,80,2,1,2,0.1,0.03
35,0,Travel_Rarely,0.1214,Research & Development,0.01,3,Medical,1,105,2,1,0.03,2,1,Research Scientist,3,Single,Low Income,0.26278,0.1,Y,0,18,3,1,80,0,3,3,0.06,0.0
55,0,Travel_Rarely,0.0111,Sales,0.01,2,Life Sciences,1,106,1,1,0.07,3,3,Sales Executive,4,Married,High Income,0.18092,0.3,Y,0,14,3,4,80,1,4,3,0.01,0.01
38,0,Non-Travel,0.0573,Research & Development,0.06,3,Medical,1,107,2,0,0.079,1,2,Research Scientist,4,Divorced,Medium Income,0.15717,0.7,Y,1,12,3,4,80,3,3,3,0.13,0.01
34,0,Travel_Rarely,0.1153,Research & Development,0.01,2,Medical,1,110,1,1,0.094,3,2,Manufacturing Director,2,Married,Medium Income,0.17736,0.1,Y,0,15,3,3,80,0,2,3,0.05,0.01
56,0,Travel_Rarely,0.14,Research & Development,0.07,3,Life Sciences,1,112,4,1,0.049,1,3,Manufacturing Director,4,Single,High Income,0.21698,0.4,Y,0,11,3,1,80,0,3,2,0.06,0.0
23,0,Travel_Rarely,0.0541,Sales,0.02,1,Technical Degree,1,113,3,1,0.062,3,1,Sales Representative,1,Divorced,Low Income,0.09518,0.3,Y,0,13,3,3,80,1,3,3,0.0,0.0
51,0,Travel_Rarely,0.0432,Research & Development,0.09,4,Life Sciences,1,116,4,1,0.096,3,1,Laboratory Technician,4,Married,Low Income,0.18725,0.3,Y,0,23,3,2,80,2,4,3,0.04,0.0
30,0,Travel_Rarely,0.0288,Research & Development,0.02,3,Life Sciences,1,117,3,1,0.099,2,2,Healthcare Representative,4,Married,Medium Income,0.1583,0.1,Y,0,19,3,1,80,3,3,3,0.11,0.1
46,1,Travel_Rarely,0.0669,Sales,0.09,2,Medical,1,118,3,1,0.064,2,3,Sales Executive,4,Single,High Income,0.13596,0.1,Y,0,16,3,4,80,0,3,3,0.09,0.04
40,0,Travel_Frequently,0.053,Research & Development,0.01,4,Life Sciences,1,119,3,1,0.078,2,4,Healthcare Representative,2,Married,High Income,0.14115,0.1,Y,0,22,3,4,80,1,3,2,0.22,0.11
51,0,Travel_Rarely,0.0632,Sales,0.21,4,Marketing,1,120,3,1,0.071,3,2,Sales Executive,4,Single,Medium Income,0.08423,0.0,Y,1,22,3,4,80,0,2,1,0.1,0.01
30,0,Travel_Rarely,0.1334,Sales,0.04,2,Medical,1,121,3,0,0.063,2,2,Sales Executive,2,Divorced,Medium Income,0.1976,0.1,Y,1,12,3,2,80,3,4,2,0.11,0.02
46,0,Travel_Frequently,0.0638,Research & Development,0.01,3,Medical,1,124,3,1,0.04,2,3,Healthcare Representative,1,Married,High Income,0.03142,0.2,Y,1,13,3,3,80,1,5,2,0.1,0.09
32,0,Travel_Rarely,0.1093,Sales,0.06,4,Medical,1,125,2,1,0.087,3,2,Sales Executive,3,Single,Medium Income,0.24301,0.1,Y,0,16,3,1,80,0,0,3,0.11,0.05
54,0,Travel_Rarely,0.1217,Research & Development,0.02,4,Technical Degree,1,126,1,0,0.06,3,3,Research Director,3,Married,High Income,0.24001,0.9,Y,0,12,3,1,80,1,5,1,0.04,0.0
24,0,Travel_Rarely,0.1353,Sales,0.03,2,Other,1,128,1,0,0.033,3,2,Sales Executive,3,Married,Medium Income,0.17519,0.0,Y,0,21,3,1,80,1,2,2,0.03,0.0
28,0,Non-Travel,0.012,Sales,0.04,3,Medical,1,129,2,1,0.043,3,2,Sales Executive,3,Married,Medium Income,0.08863,0.1,Y,0,15,3,2,80,0,3,4,0.05,0.0
58,0,Travel_Rarely,0.0682,Sales,0.1,4,Medical,1,131,4,1,0.037,3,4,Sales Executive,3,Single,High Income,0.24409,0.0,Y,0,13,3,3,80,0,1,2,0.27,0.01
44,0,Non-Travel,0.0489,Research & Development,0.23,3,Medical,1,132,2,1,0.067,3,2,Laboratory Technician,2,Married,Low Income,0.25043,0.4,Y,0,12,3,3,80,1,3,4,0.03,0.01
37,1,Travel_Rarely,0.0807,Human Resources,0.06,4,Human Resources,1,133,3,1,0.063,3,1,Human Resources,1,Divorced,Low Income,0.23648,0.4,Y,1,22,3,4,80,0,3,3,0.03,0.0
32,0,Travel_Rarely,0.0827,Research & Development,0.01,1,Life Sciences,1,134,4,1,0.071,3,1,Research Scientist,1,Single,Low Income,0.15178,0.1,Y,0,13,3,4,80,0,2,3,0.01,0.0
20,1,Travel_Frequently,0.0871,Research & Development,0.06,3,Life Sciences,1,137,4,0,0.066,2,1,Laboratory Technician,4,Single,Low Income,0.19783,0.1,Y,1,18,3,2,80,0,5,3,0.01,0.01
34,0,Travel_Rarely,0.0665,Research & Development,0.06,4,Other,1,138,1,0,0.041,3,2,Research Scientist,3,Single,Medium Income,0.12482,0.1,Y,0,14,3,3,80,0,3,3,0.16,0.02
37,0,Non-Travel,0.104,Research & Development,0.02,2,Life Sciences,1,139,3,1,0.1,2,2,Healthcare Representative,4,Divorced,Medium Income,0.1585,0.5,Y,0,14,3,4,80,1,2,4,0.01,0.0
59,0,Non-Travel,0.142,Human Resources,0.02,4,Human Resources,1,140,3,0,0.032,2,5,Manager,4,Married,High Income,0.21922,0.9,Y,0,21,3,4,80,1,3,3,0.03,0.02
50,0,Travel_Frequently,0.1115,Research & Development,0.01,3,Life Sciences,1,141,1,0,0.073,3,5,Research Director,2,Married,High Income,0.09755,0.3,Y,1,19,3,1,80,0,1,2,0.08,0.0
25,1,Travel_Rarely,0.024,Sales,0.05,3,Marketing,1,142,3,1,0.046,2,2,Sales Executive,3,Single,Medium Income,0.26959,0.1,Y,1,11,3,4,80,0,1,3,0.06,0.0
25,0,Travel_Rarely,0.128,Research & Development,0.07,1,Medical,1,143,4,1,0.064,2,1,Research Scientist,4,Married,Low Income,0.26897,0.1,Y,0,11,3,3,80,2,2,3,0.02,0.02
22,0,Travel_Rarely,0.0534,Research & Development,0.15,3,Medical,1,144,2,0,0.059,3,1,Laboratory Technician,4,Single,Low Income,0.23785,0.1,Y,0,15,3,3,80,0,5,3,0.0,0.0
51,0,Travel_Frequently,0.1456,Research & Development,0.01,4,Medical,1,145,1,0,0.03,2,3,Healthcare Representative,1,Single,High Income,0.25796,0.3,Y,0,20,3,3,80,0,1,2,0.13,0.12
34,1,Travel_Frequently,0.0658,Research & Development,0.07,3,Life Sciences,1,147,1,1,0.066,1,2,Laboratory Technician,3,Single,Medium Income,0.22887,0.1,Y,1,24,3,4,80,0,3,3,0.09,0.0
54,0,Non-Travel,0.0142,Human Resources,0.26,3,Human Resources,1,148,4,0,0.03,4,4,Manager,4,Single,High Income,0.13871,0.2,Y,1,12,3,3,80,0,3,3,0.05,0.04
24,0,Travel_Rarely,0.1127,Research & Development,0.18,1,Life Sciences,1,150,2,1,0.052,3,1,Laboratory Technician,3,Married,Low Income,0.13257,0.0,Y,0,12,3,3,80,1,2,3,0.05,0.01
34,0,Travel_Rarely,0.1031,Research & Development,0.06,4,Life Sciences,1,151,3,0,0.045,2,2,Research Scientist,2,Divorced,Medium Income,0.15,0.6,Y,0,15,3,3,80,1,3,3,0.01,0.0
37,0,Travel_Rarely,0.1189,Sales,0.03,3,Life Sciences,1,152,3,1,0.087,3,3,Sales Executive,4,Single,High Income,0.14506,0.2,Y,0,12,3,1,80,0,3,3,0.05,0.01
34,0,Travel_Rarely,0.1354,Research & Development,0.05,3,Medical,1,153,3,0,0.045,2,3,Manager,1,Single,High Income,0.05615,0.2,Y,0,12,3,4,80,0,6,3,0.11,0.05
36,0,Travel_Frequently,0.1467,Sales,0.11,2,Technical Degree,1,154,2,0,0.092,3,3,Sales Executive,4,Married,High Income,0.22952,0.0,Y,0,14,3,3,80,1,6,3,0.09,0.02
36,0,Travel_Rarely,0.0922,Research & Development,0.03,2,Life Sciences,1,155,1,0,0.039,3,1,Laboratory Technician,4,Divorced,Low Income,0.02561,0.5,Y,0,22,3,1,80,1,2,3,0.01,0.0
43,0,Travel_Frequently,0.0394,Sales,0.26,2,Life Sciences,1,158,3,1,0.092,3,4,Manager,4,Married,High Income,0.19494,0.1,Y,1,12,3,4,80,2,3,4,0.25,0.04
30,0,Travel_Frequently,0.1312,Research & Development,0.23,3,Life Sciences,1,159,1,1,0.096,1,1,Research Scientist,3,Divorced,Low Income,0.2231,0.1,Y,0,25,3,3,80,3,2,2,0.1,0.0
33,0,Non-Travel,0.075,Sales,0.22,2,Marketing,1,160,3,1,0.095,3,2,Sales Executive,2,Married,Medium Income,0.1548,0.0,Y,0,13,3,1,80,1,2,4,0.07,0.0
56,1,Travel_Rarely,0.0441,Research & Development,0.14,4,Life Sciences,1,161,2,0,0.072,3,1,Research Scientist,2,Married,Medium Income,0.0451,0.9,Y,1,18,3,1,80,3,2,3,0.05,0.04
51,0,Travel_Rarely,0.0684,Research & Development,0.06,3,Life Sciences,1,162,1,1,0.051,3,5,Research Director,3,Single,High Income,0.06462,0.7,Y,0,13,3,3,80,0,5,3,0.2,0.12
31,1,Travel_Rarely,0.0249,Sales,0.06,4,Life Sciences,1,163,2,1,0.076,1,2,Sales Executive,3,Married,Medium Income,0.20739,0.4,Y,1,18,3,2,80,0,3,2,0.07,0.07
26,0,Travel_Rarely,0.0841,Research & Development,0.06,3,Other,1,164,3,0,0.046,2,1,Research Scientist,2,Married,Low Income,0.233,0.1,Y,0,19,3,3,80,0,3,2,0.05,0.04
58,1,Travel_Rarely,0.0147,Research & Development,0.23,4,Medical,1,165,4,0,0.094,3,3,Healthcare Representative,4,Married,High Income,0.03465,0.1,Y,0,12,3,4,80,1,3,2,0.27,0.12
19,1,Travel_Rarely,0.0528,Sales,0.22,1,Marketing,1,167,4,1,0.05,3,1,Sales Representative,3,Single,Low Income,0.2682,0.1,Y,1,19,3,4,80,0,2,2,0.0,0.0
22,0,Travel_Rarely,0.0594,Research & Development,0.02,1,Technical Degree,1,169,3,1,0.1,3,1,Laboratory Technician,4,Married,Low Income,0.19299,0.0,Y,0,14,3,3,80,1,2,3,0.02,0.02
